Ticker	Date	Price	Model	Actual	Forecast
HPQ	2015-03-19	close	MA	  -1.00	   0.00
HPQ	2015-03-19	close	EWMA	  -1.00	   0.00
HPQ	2015-03-19	close	ARIMA	  -1.00	   0.00
HPQ	2015-03-19	close	KNN	  -1.00	   0.00
HPQ	2015-03-19	close	SAX	  -1.00	   0.00
HPQ	2015-03-19	close	LSTM	  -1.00	   0.00
HPQ	2015-06-23	close	MA	  -1.00	   0.00
HPQ	2015-06-23	close	EWMA	  -1.00	   0.00
HPQ	2015-06-23	close	ARIMA	  -1.00	   0.00
HPQ	2015-06-23	close	KNN	  -1.00	   0.00
HPQ	2015-06-23	close	SAX	  -1.00	   0.00
HPQ	2015-06-23	close	LSTM	  -1.00	   0.00
HPQ	2015-09-25	close	MA	  -1.00	   0.00
HPQ	2015-09-25	close	EWMA	  -1.00	   0.00
HPQ	2015-09-25	close	ARIMA	  -1.00	   0.00
HPQ	2015-09-25	close	KNN	  -1.00	   0.00
HPQ	2015-09-25	close	SAX	  -1.00	   0.00
HPQ	2015-09-25	close	LSTM	  -1.00	   0.00
HPQ	2015-12-30	close	MA	  -1.00	   0.00
HPQ	2015-12-30	close	EWMA	  -1.00	   0.00
HPQ	2015-12-30	close	ARIMA	  -1.00	   0.00
HPQ	2015-12-30	close	KNN	  -1.00	   0.00
HPQ	2015-12-30	close	SAX	  -1.00	   0.00
HPQ	2015-12-30	close	LSTM	  -1.00	   0.00
HPQ	2016-04-07	close	MA	  11.99	  12.18
HPQ	2016-04-07	close	EWMA	  11.99	  11.94
HPQ	2016-04-07	close	ARIMA	  11.99	  12.26
HPQ	2016-04-07	close	KNN	  11.99	  10.15
HPQ	2016-04-07	close	SAX	  11.99	  11.80
HPQ	2016-04-07	close	LSTM	  11.99	  12.18
HPQ	2016-07-12	close	MA	  13.72	  12.81
HPQ	2016-07-12	close	EWMA	  13.72	  13.06
HPQ	2016-07-12	close	ARIMA	  13.72	  13.12
HPQ	2016-07-12	close	KNN	  13.72	  12.20
HPQ	2016-07-12	close	SAX	  13.72	  12.58
HPQ	2016-07-12	close	LSTM	  13.72	  11.93
HPQ	2016-10-13	close	MA	  15.15	  15.51
HPQ	2016-10-13	close	EWMA	  15.15	  15.07
HPQ	2016-10-13	close	ARIMA	  15.15	  15.31
HPQ	2016-10-13	close	KNN	  15.15	  14.47
HPQ	2016-10-13	close	SAX	  15.15	  14.72
HPQ	2016-10-13	close	LSTM	  15.15	  14.15
HPQ	2017-01-19	close	MA	  14.86	  14.73
HPQ	2017-01-19	close	EWMA	  14.86	  14.04
HPQ	2017-01-19	close	ARIMA	  14.86	  14.57
HPQ	2017-01-19	close	KNN	  14.86	  15.61
HPQ	2017-01-19	close	SAX	  14.86	  15.31
HPQ	2017-01-19	close	LSTM	  14.86	  13.88
HPQ	2017-04-26	close	MA	  18.63	  18.47
HPQ	2017-04-26	close	EWMA	  18.63	  18.27
HPQ	2017-04-26	close	ARIMA	  18.63	  18.60
HPQ	2017-04-26	close	KNN	  18.63	  17.22
HPQ	2017-04-26	close	SAX	  18.63	  17.46
HPQ	2017-04-26	close	LSTM	  18.63	  14.71
HPQ	2017-07-31	close	MA	  19.10	  19.26
HPQ	2017-07-31	close	EWMA	  19.10	  19.10
HPQ	2017-07-31	close	ARIMA	  19.10	  19.15
HPQ	2017-07-31	close	KNN	  19.10	  19.05
HPQ	2017-07-31	close	SAX	  19.10	  18.18
HPQ	2017-07-31	close	LSTM	  19.10	  17.00
HPQ	2017-11-01	close	MA	  21.47	  21.53
HPQ	2017-11-01	close	EWMA	  21.47	  21.34
HPQ	2017-11-01	close	ARIMA	  21.47	  21.54
HPQ	2017-11-01	close	KNN	  21.47	  19.85
HPQ	2017-11-01	close	SAX	  21.47	  19.97
HPQ	2017-11-01	close	LSTM	  21.47	  18.14
